Name,ScripCode,
ZODIACLOTH,3821,
ZUARIIND,3827,
BHARATRAS,3834,
TOKYOPLAST,3837,
VARROC,3857,
SOMANYCERA,3880,
HATSUN,3892,
CAPLIPOINT,3906,
KHAITANLTD,3912,
NATCOPHARM,3918,
GOCLCORP,3963,
TNPL,3980,
GREENPLY,3987,
CORALFINAC,4007,
NAVA,4014,
JAYAGROGN,4041,
PANACEABIO,4055,
ALPSINDUS,4060,
MARICO,4067,
SILINV,4105,
BIOFILCHEM,4136,
TCNSBRANDS,4172,
ZENITHEXPO,4176,
SANGAMIND,4184,
MOTHERSON,4204,
VISAKAIND,4221,
WENDT,4235,
HDFCAMC,4244,
DENORA,4279,
STERTOOLS,4299,
SHRIRAMFIN,4306,
PUNJABCHEM,4344,
GULFOILLUB,4391,
MIRZAINT,4394,
JAGSNPHARM,4410,
CREDITACC,4421,
INDIANCARD,4422,
HITECHGEAR,4433,
AARTIDRUGS,4481,
ALKYLAMINE,4487,
JCHAC,4491,
MPHASIS,4503,
DYNAMATECH,4525,
RAMCOIND,4587,
KOTHARIPET,4594,
HERITGFOOD,4598,
SBCL,4656,
BANKBARODA,4668,
SONACOMS,4684,
SHYAMMETL,4693,
GAIL,4717,
SKMEGGPROD,4732,
BANKINDIA,4745,
INDNIPPON,4747,
CONCOR,4749,
DODLA,4822,
SNOWMAN,4843,
KIMS,4847,
INDSWFTLAB,4870,
SAREGAMA,4892,
FDC,4898,
ENGINERSIN,4907,
MADRASFERT,4911,
IPL,4934,
ICICIBANK,4963,
PHARMABEES,4973,
IRCON,4986,
SHARDACROP,4992,
CLEAN,5049,
GRINFRA,5054,
SHEMAROO,5068,
ZOMATO,5097,
KPIGREEN,5108,
CIGNITITEC,5142,
JAICORPLTD,5143,
TATVA,5162,
SBIETFCON,5168,
STYLAMIND,5186,
GMDCLTD,5204,
BFSI,5220,
MAHAPEXLTD,5239,
INDUSINDBK,5258,
PDSL,5264,
GLS,5265,
ROLEXRINGS,5279,
PRITIKAUTO,5292,
UGROCAP,5313,
EXXARO,5352,
KRSNAA,5359,
WINDLAS,5366,
DEVYANI,5373,
ASAHIINDIA,5378,
EPIGRAL,5382,
AAVAS,5385,
MOL,5394,
NGIL,5401,
CARTRADE,5407,
NUVOCO,5426,
TRIGYN,5428,
APTUS,5435,
CHEMPLASTS,5449,
GRSE,5475,
YUKEN,5501,
JAIPURKURT,5516,
KOTHARIPRO,5528,
AMIORG,5578,
VIJAYA,5585,
INTLCONV,5606,
ASTRAZEN,5610,
GANESHBE,5614,
ITDCEM,5622,
PAR,5631,
J&KBANK,5633,
SHANTI,5650,
ARCHIES,5688,
CUB,5701,
AXISCETF,5732,
CYIENT,5748,
SANSERA,5751,
MASPTOP50,5782,
KOTAKBKETF,5851,
LAGNAM,5865,
AXISBANK,5900,
PARAS,5911,
INTELLECT,5926,
MONTECARLO,5938,
SOUTHBANK,5948,
BSLSENETFG,5957,
COASTCORP,6006,
ABSLAMC,6018,
EIFFL,6040,
PASUPTAC,6045,
CYBERTECH,6051,
LICNETFGSC,6062,
ATGL,6066,
AIROLAM,6068,
GOODLUCK,6125,
ARTNIRMAN,6156,
BHAGCHEM,6164,
FCL,6198,
CAMLINFINE,6216,
DTIL,6227,
3IINFOLTD,6232,
MEDICAMEQ,6278,
GULPOLY,6286,
HEALTHY,6297,
